name 	 betax 	 betay 	 length
BS_50A	8.77894e+01	8.93862e+01	2.19920348e+04
BS_50L	1.15864e+02	1.17140e+02	1.67234600e+02
BS_53V	7.96697e+01	7.96697e+01	1.57630000e+01
BS_53H	7.96699e+01	7.96699e+01	1.57630000e+01
BS_63V	1.67251e+02	1.75519e+02	2.36731500e+02
BS_63H	1.55402e+02	1.55402e+02	4.74880000e+01
BS_69	1.80870e+02	2.01681e+02	1.30644500e+02
BS_74	1.47468e+02	1.47468e+02	5.38240000e+01
MBW	1.38224e+02	1.35564e+02	7.06000001e+01
MQW_V	1.92195e+02	2.10125e+02	7.45920000e+01
MQW_H	1.92195e+02	2.10125e+02	7.45920000e+01
Warm_Pipe	1.50992e+02	1.62721e+02	3.47731580e+03
BS_101	1.31585e+02	1.31585e+02	3.80000000e+01
taperBS101_BS121	1.83988e+02	1.83988e+02	1.48000000e-01
BS_121	3.21832e+02	3.21832e+02	2.08652000e+02
BPMCW	8.28592e+01	8.28618e+01	1.20000000e+00
BPMs	3.08250e+02	3.08613e+02	6.00000000e+00
RF	2.28445e+02	3.02909e+02	8.76000000e+00
CMS	4.29717e+01	4.29717e+01	1.86000000e+01
ATLAS	5.15973e+01	5.15973e+01	8.00000000e+00
ALICE	3.95651e+01	3.95653e+01	8.60000000e+00
LHCb	3.95642e+01	3.95642e+01	8.60000000e+00
BBC_H	1.61364e+02	1.59867e+02	2.00000000e+00
BBC_V	1.61364e+02	1.59867e+02	2.00000000e+00
Crab	1.50394e+02	1.52062e+02	2.60000000e+01
