name 	 betax 	 betay 	 length
BS_50A	8.63839e+01	9.14489e+01	2.19920348e+04
BS_50L	1.78411e+02	1.75467e+02	1.67234600e+02
BS_53V	8.13230e+02	8.13231e+02	3.15260000e+01
BS_53H	7.35686e+02	7.35686e+02	3.15260000e+01
BS_63V	8.05975e+02	8.08019e+02	2.84219500e+02
BS_63H	1.56913e+03	1.56913e+03	9.49760000e+01
BS_69	4.97115e+02	5.06700e+02	1.30644500e+02
BS_74	7.76359e+02	7.76358e+02	6.46100000e+01
MBW	1.38630e+02	1.35212e+02	7.06000000e+01
MQW_V	1.92196e+02	2.10125e+02	7.45920000e+01
MQW_H	1.92196e+02	2.10125e+02	7.45920000e+01
Warm_Pipe	3.72496e+02	3.80506e+02	3.59225980e+03
taperBS53_BS63	1.89802e+03	1.89802e+03	1.20000000e-01
taperBS63_BS74	3.16453e+03	3.16453e+03	3.08000000e-01
taperBS74_warm	3.08330e+03	3.08330e+03	1.40000000e-01
BPM61CW	9.22981e+02	9.22692e+02	1.20000000e+00
BPM61strip	2.20375e+03	2.25868e+03	1.00000000e+00
BPM80strip	2.72507e+03	2.73068e+03	1.00000000e+00
RF	2.36208e+02	2.74230e+02	8.76000000e+00
CMS	4.44118e+02	4.44119e+02	1.86000000e+01
ALICE	3.95651e+01	3.95648e+01	8.60000000e+00
LHCb	1.01548e+02	1.01548e+02	8.60000000e+00
