name 	 betax 	 betay 	 length
BS_50A	8.62720e+01	9.10227e+01	2.19920348e+04
BS_50L	1.43946e+02	1.46180e+02	1.67234600e+02
BS_53V	7.70635e+01	7.70635e+01	3.15260000e+01
BS_53H	7.70636e+01	7.70636e+01	3.15260000e+01
BS_63V	1.60348e+02	1.63582e+02	2.84219500e+02
BS_63H	1.48514e+02	1.48514e+02	9.49760000e+01
BS_69	1.54982e+02	1.64574e+02	1.30644500e+02
BS_74	1.24306e+02	1.24306e+02	6.46100000e+01
MBW	1.38630e+02	1.35212e+02	7.06000000e+01
MQW_V	1.92196e+02	2.10125e+02	7.45920000e+01
MQW_H	1.92196e+02	2.10125e+02	7.45920000e+01
Warm_Pipe	1.46434e+02	1.54202e+02	3.59225980e+03
taperBS53_BS63	9.78057e+01	9.78057e+01	1.20000000e-01
taperBS63_BS74	1.49829e+02	1.49829e+02	3.08000000e-01
taperBS74_warm	1.46121e+02	1.46121e+02	1.40000000e-01
BPM61CW	5.29324e+01	5.29165e+01	1.20000000e+00
BPM61strip	1.12172e+02	1.14930e+02	1.00000000e+00
BPM80strip	1.31147e+02	1.31398e+02	1.00000000e+00
RF	2.36209e+02	2.74230e+02	8.76000000e+00
CMS	3.11643e+01	3.11643e+01	1.86000000e+01
ALICE	3.95652e+01	3.95648e+01	8.60000000e+00
LHCb	3.95638e+01	3.95639e+01	8.60000000e+00
